time,force,position,velocity,acceleration,kinetic_energy,gravitational_potential_energy,total_mechanic_energy
22.1,-0.11,1.1515,-0.074,0.389,6.87E-04,0.003703582,0.00439082
22.15,-0.11,1.1482,-0.051,0.465,3.26E-04,0.004044974,0.004371399
22.2,-0.12,1.1463,-0.027,0.457,9.15E-05,0.004241533,0.004333022
22.25,-0.11,1.1457,-0.004,0.435,2.01E-06,0.004303604,0.004305612
22.3,-0.11,1.1459,0.016,0.418,3.21E-05,0.004282913,0.004315041
22.35,-0.11,1.1473,0.036,0.414,1.63E-04,0.004138081,0.004300729
22.4,-0.11,1.1496,0.057,0.411,4.08E-04,0.003900141,0.00430789
22.45,-0.09,1.153,0.078,0.298,7.64E-04,0.003548404,0.004311946
22.5,-0.11,1.1574,0.097,-0.074,0.00118083,0.003093215,0.004274045
22.55,-0.1,1.1629,0.086,-0.643,9.28E-04,0.002524229,0.003452427
22.6,-1.09,1.1688,0.028,-1.048,9.84E-05,0.001913862,0.002012254
22.65,-0.61,1.1673,-0.045,-0.938,2.54E-04,0.00206904,0.002323178
22.7,-0.1,1.1614,-0.087,-0.408,9.50E-04,0.002679407,0.003629317
22.75,-0.1,1.1568,-0.081,0.127,8.23E-04,0.003155286,0.003978692
22.8,-0.11,1.1533,-0.058,0.402,4.22E-04,0.003517368,0.00393955
