stretch distance (deltaX) [in],predicted distance (d1) [in],measured distance (d1) [in]
0.5,19.258,16
0.7,22.048,36
1,26.127,23.5
1.5,32.64,28
1.75,35.763,45.75
2,38.975,29
2.25,41.742,51.5
2.5,44.599,42
2.75,47.366,37.5
3,50.044,44.5
