time (t) [s],red car position (s) [ft]
0,0
1.00,1
1.78,2
2.31,3
2.90,4
3.56,5
4.27,6
4.85,7
5.53,8
6.13,9
6.85,10
7.44,11
8.14,12
8.97,13
9.65,14
10.24,15
10.90,16
11.67,17
12.31,18
12.97,19
13.70,20
